Vehicle Name,Car Type,Drive Train Type,Retail Price ($US),Cost Price ($US),Engine Size (litres),Number cylinders,Horsepower (hp),City  (km/100L),Open Road (km/100L),Weight (kg),Wheel base (cm),Length (cm),Width (cm)
Chevrolet Aveo 4dr,regular,FrontWheelDr,11690.00,10965.00,1.60,4.00,103.00,8.40,6.90,1067.00,249.00,424.00,168.00
Chevrolet Aveo LS 4dr hatch,regular,FrontWheelDr,12585.00,11802.00,1.60,4.00,103.00,8.40,6.90,1057.00,249.00,389.00,168.00
Chevrolet Cavalier 2dr,regular,FrontWheelDr,14610.00,13697.00,2.20,4.00,140.00,9.00,6.40,1178.00,264.00,465.00,175.00
Chevrolet Cavalier 4dr,regular,FrontWheelDr,14810.00,13884.00,2.20,4.00,140.00,9.00,6.40,1204.00,264.00,465.00,173.00
Chevrolet Cavalier LS 2dr,regular,FrontWheelDr,16385.00,15357.00,2.20,4.00,140.00,9.00,6.40,1178.00,264.00,465.00,175.00
Dodge Neon SE 4dr,regular,FrontWheelDr,13670.00,12849.00,2.00,4.00,132.00,8.10,6.50,1161.00,267.00,442.00,170.00
Dodge Neon SXT 4dr,regular,FrontWheelDr,15040.00,14086.00,2.00,4.00,132.00,8.10,6.50,1182.00,267.00,442.00,170.00
Ford Focus ZX3 2dr hatch,regular,FrontWheelDr,13270.00,12482.00,2.00,4.00,130.00,9.00,7.10,1175.00,262.00,427.00,170.00
Ford Focus LX 4dr,regular,FrontWheelDr,13730.00,12906.00,2.00,4.00,110.00,8.70,6.50,1173.00,262.00,427.00,170.00
Ford Focus SE 4dr,regular,FrontWheelDr,15460.00,14496.00,2.00,4.00,130.00,9.00,7.10,1173.00,262.00,427.00,170.00
Ford Focus ZX5 5dr,regular,FrontWheelDr,15580.00,14607.00,2.00,4.00,130.00,9.00,7.10,1211.00,262.00,427.00,170.00
Honda Civic DX 2dr,regular,FrontWheelDr,13270.00,12175.00,1.70,4.00,115.00,7.40,6.20,1094.00,262.00,445.00,170.00
Honda Civic HX 2dr,regular,FrontWheelDr,14170.00,12996.00,1.70,4.00,117.00,6.50,5.30,1125.00,262.00,445.00,170.00
Honda Civic LX 4dr,regular,FrontWheelDr,15850.00,14531.00,1.70,4.00,115.00,7.40,6.20,1131.00,262.00,445.00,173.00
Hyundai Accent 2dr hatch,regular,FrontWheelDr,10539.00,10107.00,1.60,4.00,103.00,8.10,7.10,1015.00,244.00,424.00,168.00
Hyundai Accent GL 4dr,regular,FrontWheelDr,11839.00,11116.00,1.60,4.00,103.00,8.10,7.10,1031.00,244.00,424.00,168.00
Hyundai Accent GT 2dr hatch,regular,FrontWheelDr,11939.00,11209.00,1.60,4.00,103.00,8.10,7.10,1053.00,244.00,424.00,168.00
Hyundai Elantra GLS 4dr,regular,FrontWheelDr,13839.00,12781.00,2.00,4.00,138.00,9.00,6.90,1186.00,262.00,452.00,173.00
Hyundai Elantra GT 4dr,regular,FrontWheelDr,15389.00,14207.00,2.00,4.00,138.00,9.00,6.90,1186.00,262.00,452.00,173.00
Hyundai Elantra GT 4dr hatch,regular,FrontWheelDr,15389.00,14207.00,2.00,4.00,138.00,9.00,6.90,1214.00,262.00,452.00,173.00
Kia Optima LX 4dr,regular,FrontWheelDr,16040.00,14910.00,2.40,4.00,138.00,10.20,7.80,1476.00,269.00,472.00,183.00
Kia Rio 4dr manual,regular,FrontWheelDr,10280.00,9875.00,1.60,4.00,104.00,9.00,7.10,1081.00,241.00,424.00,168.00
Kia Rio 4dr auto,regular,FrontWheelDr,11155.00,10705.00,1.60,4.00,104.00,9.40,7.40,1106.00,241.00,424.00,168.00
Kia Spectra 4dr,regular,FrontWheelDr,12360.00,11630.00,1.80,4.00,124.00,9.80,7.40,1197.00,257.00,452.00,173.00
Kia Spectra GS 4dr hatch,regular,FrontWheelDr,13580.00,12830.00,1.80,4.00,124.00,9.80,7.40,1209.00,257.00,452.00,173.00
Kia Spectra GSX 4dr hatch,regular,FrontWheelDr,14630.00,13790.00,1.80,4.00,124.00,9.80,7.40,1214.00,257.00,452.00,173.00
Mazda3 i 4dr,regular,FrontWheelDr,15500.00,14525.00,2.00,4.00,148.00,,,1213.00,264.00,449.00,
Mini Cooper,regular,FrontWheelDr,16999.00,15437.00,1.60,4.00,115.00,8.40,6.40,1136.00,246.00,363.00,170.00
Mitsubishi Lancer ES 4dr,regular,FrontWheelDr,14622.00,13751.00,2.00,4.00,120.00,,,1195.00,259.00,460.00,170.00
Mitsubishi Lancer LS 4dr,regular,FrontWheelDr,16722.00,15718.00,2.00,4.00,120.00,,,1258.00,259.00,460.00,170.00
Nissan Sentra 1.8 4dr,regular,FrontWheelDr,12740.00,12205.00,1.80,4.00,126.00,8.40,6.70,1131.00,254.00,452.00,170.00
Nissan Sentra 1.8 S 4dr,regular,FrontWheelDr,14740.00,13747.00,1.80,4.00,126.00,8.40,6.70,1161.00,254.00,452.00,170.00
Pontiac Sunfire 1SA 2dr,regular,FrontWheelDr,15495.00,14375.00,2.20,4.00,140.00,9.80,7.10,1247.00,264.00,462.00,173.00
Saturn Ion1 4dr,regular,FrontWheelDr,10995.00,10319.00,2.20,4.00,140.00,9.00,6.70,1211.00,262.00,470.00,170.00
Saturn lon2 4dr,regular,FrontWheelDr,14300.00,13393.00,2.20,4.00,140.00,9.00,6.70,1211.00,262.00,470.00,170.00
Saturn lon3 4dr,regular,FrontWheelDr,15825.00,14811.00,2.20,4.00,140.00,9.00,6.70,1211.00,262.00,470.00,170.00
Saturn lon2 quad coupe 2dr,regular,FrontWheelDr,14850.00,13904.00,2.20,4.00,140.00,9.00,6.70,1238.00,262.00,470.00,173.00
Saturn lon3 quad coupe 2dr,regular,FrontWheelDr,16350.00,15299.00,2.20,4.00,140.00,9.00,6.70,1238.00,262.00,470.00,173.00
Scion xA 4dr hatch,regular,FrontWheelDr,12965.00,12340.00,1.50,4.00,108.00,7.40,6.20,1053.00,236.00,391.00,170.00
Suzuki Aeno S 4dr,regular,FrontWheelDr,12884.00,12719.00,2.30,4.00,155.00,9.40,7.60,1204.00,249.00,434.00,173.00
Suzuki Aerio LX 4dr,regular,FrontWheelDr,14500.00,14317.00,2.30,4.00,155.00,9.40,7.60,1204.00,249.00,434.00,173.00
Suzuki Forenza S 4dr,regular,FrontWheelDr,12269.00,12116.00,2.00,4.00,119.00,9.80,7.60,1215.00,259.00,450.00,173.00
Suzuki Forenza EX 4dr,regular,FrontWheelDr,15568.00,15378.00,2.00,4.00,119.00,10.70,7.80,1240.00,259.00,450.00,173.00
Toyota Corolla CE 4dr,regular,FrontWheelDr,14085.00,13065.00,1.80,4.00,130.00,7.40,5.90,1126.00,259.00,452.00,170.00
Toyota Corolla S 4dr,regular,FrontWheelDr,15030.00,13650.00,1.80,4.00,130.00,7.40,5.90,1136.00,259.00,452.00,170.00
Toyota Corolla LE 4dr,regular,FrontWheelDr,15295.00,13889.00,1.80,4.00,130.00,7.40,5.90,1136.00,259.00,452.00,170.00
Toyota Echo 2dr manual,regular,FrontWheelDr,10760.00,10144.00,1.50,4.00,108.00,6.70,5.50,916.00,236.00,414.00,165.00
Toyota Echo 2dr auto,regular,FrontWheelDr,11560.00,10896.00,1.50,4.00,108.00,7.10,6.00,938.00,236.00,414.00,165.00
Toyota Echo 4dr,regular,FrontWheelDr,11290.00,10642.00,1.50,4.00,108.00,6.70,5.50,925.00,236.00,414.00,165.00
Buick Century Custom 4dr,regular,FrontWheelDr,22180.00,20351.00,3.10,6.00,175.00,11.80,7.80,1509.00,277.00,495.00,185.00
Chevrolet Impala 4dr,regular,FrontWheelDr,21900.00,20095.00,3.40,6.00,180.00,11.20,7.40,1559.00,282.00,508.00,185.00
Chevrolet Malibu 4dr,regular,FrontWheelDr,18995.00,17434.00,2.20,4.00,145.00,9.80,6.90,1428.00,269.00,478.00,178.00
Chevrolet Malibu LS 4dr,regular,FrontWheelDr,20370.00,18639.00,3.50,6.00,200.00,10.70,7.80,1484.00,269.00,478.00,178.00
Chevrolet Monte Carlo LS 2dr,regular,FrontWheelDr,21825.00,20026.00,3.40,6.00,180.00,11.20,7.40,1503.00,282.00,503.00,185.00
Chrysler PT Cruiser 4dr,regular,FrontWheelDr,17985.00,16919.00,2.40,4.00,150.00,10.70,8.10,1395.00,262.00,429.00,170.00
Chrysler PT Cruiser Limited 4dr,regular,FrontWheelDr,22000.00,20573.00,2.40,4.00,150.00,10.70,8.10,1397.00,262.00,429.00,170.00
Chrysler Sebring 4dr,regular,FrontWheelDr,19090.00,17805.00,2.40,4.00,150.00,10.70,7.80,1428.00,274.00,485.00,180.00
Chrysler Sebring Touring 4dr,regular,FrontWheelDr,21840.00,20284.00,2.70,6.00,200.00,11.20,8.40,1450.00,274.00,485.00,180.00
Dodge Intrepid SE 4dr,regular,FrontWheelDr,22035.00,20502.00,2.70,6.00,200.00,11.20,8.10,1561.00,287.00,518.00,191.00
Dodge Stratus SXT 4dr,regular,FrontWheelDr,18820.00,17512.00,2.40,4.00,150.00,11.20,8.40,1432.00,274.00,485.00,180.00
Dodge Stratus SE 4dr,regular,FrontWheelDr,20220.00,18821.00,2.40,4.00,150.00,11.20,8.40,1429.00,274.00,485.00,180.00
Ford Focus SVT 2dr,regular,FrontWheelDr,19135.00,17878.00,2.00,4.00,170.00,11.20,8.40,1238.00,262.00,427.00,170.00
