Car Name,Type,"Min Price ($US1,000)","Med Price ($US1,000)","Max Price ($US1,000)",City (MPG),Open Road (MPG),Airbag,Drive train,Cylinders,Engine Size (Litres),Horsepower (HP),Revs at max power (RPM),Revs at cruising speed (RPM),Manual transmission avaiable,Fuel tank (Gallons),Passenger Capacity (persons),Length (cm),Wheelbase (cm),Width (cm),u-turn space (m),rear seat room (cm),luggage capacity (m3),Weight (kg),USA or Foreign car
Acura Integra,Small,12.9,15.9,18.8,25,31,None,RearWheelDr,4,1.8,140,"6,300","2,890",yes,13.2,5,450,259,173,11,67,0.31,1227,Foreign
Acura Legend,Midsize,29.2,33.9,38.7,18,25,DriverPassenger,RearWheelDr,6,3.2,200,"5,500","2,335",yes,18,5,495,292,180,12,76,0.42,1615,Foreign
Audi 90,Compact,25.9,29.1,32.3,20,26,Driver,RearWheelDr,6,2.8,172,"5,500","2,280",yes,16.9,5,457,259,170,11,71,0.40,1531,Foreign
Audi 100,Midsize,30.8,37.7,44.6,19,26,DriverPassenger,RearWheelDr,6,2.8,172,"5,500","2,535",yes,21.1,6,490,269,178,11,79,0.48,1544,Foreign
BMW 535i,Midsize,23.7,30,36.2,22,30,Driver,FrontWheelDr,4,3.5,208,"5,700","2,545",yes,21.1,4,472,277,175,12,69,0.37,1651,Foreign
Buick Century,Midsize,14.2,15.7,17.3,22,31,Driver,RearWheelDr,4,2.2,110,"5,200","2,565",no,16.4,6,480,267,175,12,71,0.45,1306,American
Buick LeSabre,Large,19.9,20.8,21.7,19,28,Driver,RearWheelDr,6,3.8,170,"4,800","1,570",no,18,6,508,282,188,13,77,0.48,1574,American
Buick Roadmaster,Large,22.6,23.7,24.9,16,25,Driver,FrontWheelDr,6,5.7,180,"4,000","1,320",no,23,6,549,295,198,14,77,0.59,1862,American
Buick Riviera,Midsize,26.3,26.3,26.3,19,27,Driver,RearWheelDr,6,3.8,170,"4,800","1,690",no,18.8,5,503,274,185,12,67,0.40,1585,American
Cadillac DeVille,Large,33,34.7,36.3,16,25,Driver,RearWheelDr,8,4.9,200,"4,100","1,510",no,18,6,523,290,185,13,89,0.51,1642,American
Cadillac Seville,Midsize,37.5,40.1,42.7,16,25,DriverPassenger,RearWheelDr,8,4.6,295,"6,000","1,985",no,20,5,518,282,188,13,79,0.40,1785,American
Chevrolet Cavalier,Compact,8.5,13.4,18.3,25,36,None,RearWheelDr,4,2.2,110,"5,200","2,380",yes,15.2,5,462,257,168,12,64,0.37,1129,American
Chevrolet Corsica,Compact,11.4,11.4,11.4,25,34,Driver,RearWheelDr,4,2.2,110,"5,200","2,665",yes,15.6,5,467,262,173,12,66,0.40,1263,American
Chevrolet Camaro,Sporty,13.4,15.1,16.8,19,28,DriverPassenger,FrontWheelDr,6,3.4,160,"4,600","1,805",yes,15.5,4,490,257,188,13,64,0.37,1470,American
Chevrolet Lumina,Midsize,13.4,15.9,18.4,21,29,None,RearWheelDr,4,2.2,110,"5,200","2,595",no,16.5,6,503,274,180,12,72,0.45,1449,American
Chevrolet Lumina APV,Van,14.7,16.3,18,18,23,None,RearWheelDr,6,3.8,170,"4,800","1,690",no,20,7,452,279,188,13,77, ,1685,American
Chevrolet Astro,Van,14.7,16.6,18.6,15,20,None,AllWheelDr,6,4.3,165,"4,000","1,790",no,27,8,493,282,198,13,85, ,1826,American
Chevrolet Caprice,Large,18,18.8,19.6,17,26,Driver,FrontWheelDr,8,5,170,"4,200","1,350",no,23,6,544,295,196,13,75,0.57,1774,American
Chevrolet Corvette,Sporty,34.6,38,41.5,17,25,Driver,FrontWheelDr,8,5.7,300,"5,000","1,450",yes,20,2,455,244,188,13, , ,1533,American
