Carat,Colour,Clarity,Lab,Price ($US)
0.3,1,5,1,911.4
0.3,2,4,1,1057
0.3,4,2,1,1057
0.3,4,4,1,882
0.31,1,4,1,1148.7
0.31,2,4,1,1088.5
0.31,3,4,1,998.9
0.31,4,3,1,998.9
0.31,5,5,1,788.2
0.31,6,4,1,788.2
0.32,3,4,1,1027.6
0.32,4,5,1,841.4
0.33,2,5,1,928.9
0.33,6,5,1,768.6
0.34,2,4,1,1185.1
0.34,3,4,1,1085.7
0.34,4,4,1,987
0.34,4,5,1,888.3
0.34,5,4,1,921.2
0.34,5,5,1,855.4
0.35,2,4,1,1216.6
0.35,3,4,1,1115.1
0.35,4,4,1,1012.9
0.35,5,5,1,878.5
0.36,3,4,1,1144.5
0.36,5,3,1,1039.5
0.37,3,5,1,994
0.37,5,4,1,994
0.4,3,4,1,1337.7
0.4,5,4,1,1067.5
0.41,3,4,1,1369.2
0.43,5,3,1,1222.9
0.45,6,4,1,1100.4
0.46,2,3,1,2059.4
0.48,4,3,1,1772.4
0.5,2,4,1,2450.7
0.5,2,4,1,2450.7
0.5,3,3,1,2450.7
0.5,3,4,1,2305.1
0.5,4,4,1,2111.2
0.51,3,3,1,2496.9
0.51,4,4,1,2243.5
0.52,1,5,1,2443
0.52,2,4,1,2544.5
0.52,3,3,1,2544.5
0.52,3,4,1,2392.6
0.53,1,4,1,2744.7
0.53,3,3,1,2590.7
0.53,3,4,1,2436
0.53,4,3,1,2384.9
0.54,2,4,1,2636.9
0.54,3,2,1,2846.2
0.55,2,3,1,2896.6
0.55,3,4,1,2523.5
0.55,4,3,1,2470.3
0.56,3,4,1,2566.9
0.56,6,3,1,2024.4
0.57,4,3,1,2555.7
0.59,4,3,1,2641.1
0.6,3,4,1,3003.7
0.62,2,2,1,4091.5
0.63,4,3,1,3080.7
0.64,4,2,1,3331.3
0.66,5,2,1,3010
0.7,3,4,1,3857
0.7,4,4,1,3585.4
0.7,5,3,1,3585.4
0.7,6,5,1,2702.7
0.71,3,3,1,4116.7
0.71,3,4,1,3910.2
0.71,3,5,1,3635.1
0.71,5,3,1,3635.1
0.72,3,5,1,3684.1
0.8,6,3,1,3808.7
0.82,6,5,1,3463.6
0.84,5,5,1,3993.5
0.85,3,5,1,4763.5
0.86,5,3,1,4817.4
0.89,5,4,1,4696.3
0.9,6,3,1,4677.4
0.5,2,4,1,2450.7
0.5,4,2,1,2402.4
0.51,3,2,1,2695.7
0.55,5,1,1,2523.5
0.56,2,4,1,2730
0.57,5,2,1,2390.5
0.6,5,1,1,3003.7
0.63,2,1,1,4558.4
0.7,2,4,1,4060
0.7,3,2,1,4399.5
0.7,3,5,1,3585.4
0.7,3,5,1,3585.4
0.7,4,4,1,3585.4
0.7,5,3,1,3585.4
0.71,1,4,1,4460.4
0.71,2,4,1,4116.7
0.71,5,3,1,3635.1
0.72,2,4,1,4172.7
0.72,5,2,1,3963.4
0.73,2,5,1,4016.6
0.73,5,4,1,3521
0.73,5,4,1,3521
0.73,6,2,1,3308.9
0.73,6,4,1,2954.7
0.74,4,3,1,4070.5
0.74,5,5,1,3209.5
0.75,1,3,1,5157.6
0.75,6,3,1,3266.9
0.75,6,4,1,3048.5
0.76,1,1,1,6919.5
0.77,3,2,1,4843.3
0.78,5,4,1,3770.2
0.8,6,5,1,3382.4
0.83,2,5,1,5009.2
0.9,3,4,1,5376
1,1,2,1,10907.4
1,1,4,1,7993.3
1,2,4,1,7411.6
1,2,5,1,6829.9
1,3,1,1,9739.1
1,3,3,1,7411.6
1,3,4,1,7499.1
1,3,5,1,6636
1,4,3,1,6927.2
1,4,4,1,6733.3
1,4,5,1,6418.3
1,4,5,1,6442.1
1,5,5,1,6151.6
1,6,4,1,5666.5
1,6,5,1,5472.6
1.01,1,2,1,11205.6
1.01,2,4,1,7484.4
1.01,2,5,1,6897.1
1.01,3,4,1,7190.4
1.01,3,5,1,6701.1
1.01,5,4,1,6407.1
1.01,5,5,1,6211.1
1.01,6,2,1,6211.1
1.01,6,3,1,5918.5
1.01,6,5,1,5526.5
1.02,3,4,1,7260.4
1.02,3,5,1,6766.2
1.02,4,3,1,7063
1.03,2,4,1,7630
1.04,3,4,1,7399.7
1.04,6,1,1,6694.1
1.05,6,3,1,6146.7
