Species,Brain,Body,Gestation,Litter
Aardvark,9.6,2.2,31,5
Acouchis,9.9,0.78,98,1.2
African elephant,4480,2800,655,1
Agoutis,20.3,2.8,104,1.3
Axis deer,219,89,218,1
Badger,53,6,60,2.2
Barbary sheep,210,66,158,1.2
Barking deer,124,16,183,1.1
Bat-eared fox,28.5,3.2,65,4
Beaked whale,500,250,240,1.8
Beaver,45,25,128,4
Black buck antilope,200,39,180,1
Bush baby,9.9,0.7,135,1
Canadian beaver,40,20,128,2.9
Capybara,76,30,123,3
Caribou,288,110,225,1
Cattle,456,520,280,1
Chimpanzee,360,45,230,1
Chinchilla,5.25,0.43,110,2
Deer mouse I,0.68,0.027,23,3.7
Deer mouse II,0.63,0.026,23,5
Deer mouse III,0.52,0.017,24,5
Deer mouse IV,0.69,0.024,24,5
Dog,70.2,8.5,63,4
Dolphin,1600,160,360,1
Domestic cat,28.4,2.5,63,4
Domestic goat,106,30,151,2
Domestic pig,180,190,115,8
Domestic sheep,125,49,150,2.4
Duikers,93,13,120,1
Eland,480,560,255,1
Elephant shrew I,1.14,0.049,51,1.5
Elephant shrew II,1.37,0.064,46,1.5
Elk,365,120,235,1
Fallow deer,223,80,240,1
Flying squirrel,1.89,0.052,40,3.1
Fur seal,355,250,254,1
Gentle lemur,7.8,0.22,145,2
Gorilla,406,140,265,1
Gray fox,37.3,3.8,63,3.7
Grizzly bear,400,250,219,2.3
Guinea pig,4.28,0.97,67,2.6
Hamadryas baboon,183,21,180,1
Hamster I,0.67,0.036,21,4.6
Hamster II,1.12,0.13,16,6.3
Harp seal,442,110,240,1
Hedgehog,3.5,0.93,34,4.6
Hippopotamus,590,1400,240,1
Hopping mouse,1.18,0.15,27,5.6
Horse,712,480,330,1
House mouse,0.45,0.024,19,5
Howler monkey,54,7.7,139,1
Human being,1300,65,270,1
Hyrax,20.5,3.8,225,2.4
Jack rabbit,13.3,2.9,41,2.5
Kinkajou,31.2,2,77,1.1
Leaf monkey,65.5,5.8,168,1
Lemur,22,2.1,135,1
Leopard,157,46,92,2.5
Lion,260,180,108,3
Llama,225,93,330,1
Long-nose armadillo,12,3.7,120,4
Lynx,75,12,60,2.5
Nutria,23,5,132,5.5
Orangutan,343,37,270,1
Porcupine I,37,11,112,1.2
Porcupine II,37,14,112,1.2
Porcupine III,24,6.6,113,1
Porpoise,537,56,270,1
Pygmy gerbil,1.04,0.065,21,4
Pygmy hippopotamus,260,150,205,1
Quokka,17.5,3.5,26,1
Raccoon,41.6,5.3,63,3.5
Rat I,0.72,0.05,23,7.3
Rat II,2.38,0.34,21,8
Red deer,435,200,255,1
Red fox,48,6,52,4
Rhesus monkey I,84.6,6,175,1
Rhesus monkey II,107,8.7,165,1.1
Ring-tail monkey,73,3.7,180,1
Sambar,383,120,246,1.1
Sea lion,363,100,343,1
Slow loris,12.8,1.2,90,1.2
Spider monkey I,114,9.1,140,1
Spider monkey II,109,7.7,140,1
Tapir,250,230,390,1
Tiger,302,210,104,3
Tree shrew,3.15,0.15,46,3
Tree squirrel,6.23,0.33,38,3
Vervet guenon,67,4.6,195,1
Vicuna,198,45,300,1.1
Weddell seal,550,400,310,1
Western baboon,179,32,180,1
White-handed gibbon,102,5.5,210,1
Wild boar,185,150,120,4
Yak,334,250,255,1
