City,Walk,Bank,Talk,Heart
Boston,28,31,24,24
Buffalo,23,30,23,29
New York,24,29,18,31
Salt Lake City,28,28,23,26
Columbus,22,27,30,26
Worcester,25,26,24,20
Providence,26,30,24,17
Springfield,30,28,21,19
Rochester,22,33,18,26
Kansas City,22,33,22,24
St Louis,23,22,23,26
Houston,25,30,20,25
Paterson,23,32,23,14
Bakersfield,18,29,25,11
Atlanta,27,25,27,19
Detroit,22,24,14,24
Youngstown,23,27,24,20
Indianapolis,22,26,24,13
Chicago,23,24,25,20
Philadelphia,12,31,19,18
Loiusville,23,27,17,16
Canton,20,28,18,19
Knoxville,20,21,17,23
San Francisco,22,19,18,11
Chattanooga,14,34,22,27
Dallas,20,24,23,18
Oxnard,17,25,19,15
Nashville,26,25,19,20
San Diego,19,20,22,18
East Lansing,23,22,23,21
Fresno,13,26,22,11
Memphis,16,29,21,14
San Jose,17,25,18,19
Shreveport,17,22,15,15
Sacramento,16,24,10,18
Los Angeles,20,13,12,16
